key,da,en
request.refusal.unavailable,Ønskelisten er ikke tilgængelig lige nu. Prøv igen senere.,Requests aren't available right now. Please try again later.
request.duplicate,Det valg er der allerede et ønske om (#{number}).,That election has already been requested (#{number}).
request.filed,Ønsket er noteret som #{number}.,Your request is noted as #{number}.
request.byHand,Valget bliver importeret manuelt.,The election will be imported by hand.
request.link,Se ønsket,See the request
request.failed,Kunne ikke sende ønsket: {message},Couldn't send the request: {message}
preview.forecastFor,Prognose fra {label} for valget {identity},Forecast by {label} for the election {identity}
preview.majorityAt,flertal ved {majority},majority at {majority}
preview.sourceComputed,Stemmeandelene er læst fra {url}; mandaterne er beregnet ud fra dem og er et skøn.,The vote shares were read from {url}; the seats are calculated from them and are an estimate.
preview.source,Tallene er læst fra {url},The numbers were read from {url}
preview.check,"Kontrollér at det er det rigtige valg, og at tallene passer, før du gemmer.",Check that this is the right election and that the numbers are right before you save.
preview.confirm,Gem valget,Save the election
preview.backToList,Tilbage til listen,Back to the list
discard,Forkast,Discard
discarded,Forkastet. Intet blev gemt.,Discarded. Nothing was saved.
choices.hint,"Vælg en meningsmåling. Du ser tallene, før noget gemmes.",Pick an opinion poll. You'll see the numbers before anything is saved.
choices.title,{where} · valget afholdes senest {date},{where} · election due by {date}
choices.message,Valget er ikke afholdt endnu. Vælg en meningsmåling at regne på.,This election hasn't been held yet. Pick an opinion poll to work with.
choices.check,"Kontrollér tallene, før du gemmer prognosen.",Check the numbers before you save the forecast.
saved.election,Valget er gemt.,The election is saved.
saved.electionAlready,Valget var allerede gemt.,The election was already saved.
saved.forecast,Prognosen er gemt.,The forecast is saved.
saved.forecastAlready,Prognosen var allerede gemt.,The forecast was already saved.
saved.failed,Kunne ikke gemme valget: {message},Couldn't save the election: {message}
curate.nowPublic,"Valget er nu synligt for alle, også uden login.","The election is now visible to everyone, signed in or not."
curate.nowPrivate,"Valget vises nu kun for brugere, der er logget ind.",The election is now only shown to signed-in users.
curate.failed,Kunne ikke ændre synligheden: {message},Couldn't change the visibility: {message}
select.failed,Kunne ikke hente valget: {message},Couldn't load the election: {message}
